Name,Pos (Port) 12/31/20,Pos (Port) 01/29/21,Pos (Port) 02/26/21,Pos (Port) 03/31/21,Pos (Port) 04/30/21,Pos (Port) 05/31/21,Pos (Port) 06/30/21,Pos (Port) 07/30/21,Pos (Port) 08/31/21,Pos (Port) 09/30/21,Pos (Port) 10/29/21,Pos (Port) 11/30/21,Pos (Port) 12/31/21,Pos (Port) 01/31/22,Pos (Port) 02/28/22,Pos (Port) 03/31/22,Pos (Port) 04/29/22,Pos (Port) 05/31/22,Pos (Port) 06/30/22,Pos (Port) 07/29/22,Pos (Port) 08/31/22,Pos (Port) 09/30/22,Pos (Port) 10/31/22,Pos (Port) 11/30/22,Pos (Port) 12/30/22
AKBNK TI,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596,23150596
GARAN TI,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531,16792531
HALKB TI,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805,7386805
ISCTR TI,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,18110771,40245340.58,40245340.58,40245340.58,40245340.58,40245340.58,40245340.58,40245340.58
VAKBN TI,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915,8112915
YKBNK TI,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758,32899758
